,0
0,100.0
1,99.88
2,100.32
3,100.6
4,100.4
5,100.05
6,100.56
7,100.53
8,99.69
9,100.31
10,99.61
11,102.19
12,103.0
13,102.24
14,104.6
15,105.39
16,105.31
17,106.71
18,107.71
19,106.14
20,107.84
21,108.66
22,108.22
23,106.84
24,107.45
25,107.69
26,107.99
27,109.49
28,111.74
29,113.53
30,113.81
31,113.1
32,112.79
33,112.5
34,113.16
35,115.37
36,112.34
37,112.3
38,111.96
39,111.52
40,114.02
41,114.31
42,114.71
43,113.16
44,112.76
45,112.79
46,112.75
47,110.57
48,108.82
49,111.2
50,111.64
51,111.73
52,111.15
53,111.1
54,111.63
55,111.06
56,110.78
57,111.16
58,109.43
59,109.94
60,108.8
61,108.73
62,109.09
63,109.93
64,111.26
65,111.46
66,110.47
67,109.78
68,109.11
69,108.92
70,109.87
71,108.12
72,109.89
73,109.99
74,111.79
75,112.63
76,113.98
77,111.39
78,109.02
79,110.15
80,108.94
81,111.4
82,116.09
83,112.0
84,110.42
85,113.55
86,113.65
87,114.4
88,113.75
89,113.63
90,116.26
91,119.07
92,125.61
93,122.34
94,124.68
95,128.89
96,129.93
97,138.89
98,142.15
99,145.13
100,147.26
101,137.49
102,143.24
103,140.89
104,142.92
105,149.5
106,152.62
107,147.78
108,151.6
109,153.95
110,157.09
111,152.13
112,145.25
113,139.53
114,139.86
115,138.71
116,136.2
117,146.71
118,151.45
119,146.18
120,140.7
121,133.98
122,147.45
123,148.46
124,158.79
125,164.64
126,159.55
127,169.69
128,181.64
129,173.61
130,171.77
131,171.74
132,162.38
133,170.99
134,169.21
135,166.2
136,166.66
137,160.02
138,155.82
139,154.78
140,152.94
141,156.12
142,154.07
143,166.37
144,162.03
145,159.36
146,156.01
147,161.26
148,156.36
149,160.96
150,161.72
151,161.45
152,161.38
153,160.27
154,158.36
155,157.23
156,152.69
157,154.62
158,153.37
159,153.13
160,154.12
161,155.28
162,161.47
163,160.1
164,164.66
165,162.94
166,164.96
167,165.13
168,163.54
169,165.09
170,167.84
171,170.06
172,165.56
173,165.54
174,162.05
175,157.66
176,162.83
177,161.88
178,161.88
179,162.98
180,169.63
181,171.63
182,171.07
183,164.98
184,165.86
185,170.24
186,171.11
187,173.98
188,179.62
189,177.66
190,173.36
191,177.23
192,172.43
193,180.41
194,185.29
195,187.18
196,201.26
197,203.13
198,201.89
199,198.17
200,193.99
201,192.99
202,188.92
203,187.9
204,188.0
205,187.04
206,187.26
207,182.29
208,183.51
209,184.48
210,184.63
211,183.28
212,183.39
213,180.94
214,182.68
215,184.42
216,192.12
217,189.39
218,192.9
219,183.83
220,183.73
221,182.62
222,180.71
223,181.88
224,178.04
225,181.24
226,184.22
227,175.08
228,179.56
229,180.06
230,180.92
231,182.65
232,184.08
233,188.04
234,189.18
235,186.93
236,186.4
237,180.08
238,179.92
239,181.74
240,180.25
241,181.57
242,180.05
243,181.02
244,180.89
245,181.92
246,185.79
247,188.4
248,186.65
249,187.83
250,187.76
251,186.46
252,180.53
253,184.8
254,183.14
255,181.02
256,181.72
257,180.18
258,181.86
259,180.9
260,180.46
261,182.9
262,184.45
263,182.97
264,183.42
265,183.64
266,184.11
267,181.41
268,180.41
269,180.92
270,178.05
271,178.36
272,176.51
273,176.44
274,177.37
275,177.54
276,177.32
277,177.58
278,177.92
279,176.54
280,175.7
281,176.03
282,176.03
283,173.89
284,174.57
285,173.21
286,174.06
287,175.45
288,174.83
289,174.59
290,172.99
291,171.74
292,171.76
293,172.08
294,172.44
295,171.4
296,171.41
297,171.23
298,171.36
299,171.43
300,173.7
301,175.17
302,176.31
303,175.91
304,174.98
305,172.83
306,172.48
307,171.02
308,169.63
309,168.25
310,167.81
311,167.45
312,168.47
313,168.68
314,168.33
315,167.48
316,168.33
317,168.67
318,168.39
319,168.48
320,170.65
321,169.03
322,168.39
323,168.78
324,168.72
325,170.31
326,173.39
327,172.19
328,174.8
329,173.52
330,173.49
331,173.29
